"","BA.5","BA.4","BA.4.1","BA.5.1","BA.5.1.1","BA.5.1.10","BA.5.1.22","BA.5.1.23","BA.5.1.30","BA.5.2","BA.5.2.1","BA.5.2.20","BA.5.2.9","BA.5.5","BA.5.6","BE.1","BE.1.1","BE.3","BF.10","BF.26","BF.5","CHN_BA524849","BF.7","BQ.1","BQ.1.1","BA.4.6","CHN_BF714"
"BA.5.2.1",0.605127939365763,0.857805876802499,0.864189852190932,0.910637020331121,0.779170649615043,0.613590676650486,0.600285841022369,0.802877119889627,0.621515568535716,0.877044880149846,1,0.542167952070077,0.883534343570536,0.893461475737082,0.886171207208447,0.810603447474901,0.766728506515799,0.750028730189538,0.776614944590354,0.811557195414318,0.827185969650443,0.60957322400743,0.658041949546333,0.398923125132753,0.343019818520368,0.770178033214102,0.254639622111966
"BA.5.2.20",0.411993724478865,0.508659867685994,0.615726865081545,0.614779263512764,0.507148325673024,0.525380675613088,0.482805358660576,0.487236548558464,0.573591732586036,0.645006070491734,0.542167952070077,1,0.526310748575024,0.464178050814951,0.569837235763975,0.361079048135871,0.631667846079624,0.357258893269622,0.557390514919626,0.441757710808126,0.587255657037569,0.555281202813529,0.431073492382833,0.204004937785172,0.342769437843192,0.524924390121168,0.306961674765626
"BA.5.2.9",0.455403390356251,0.786519376337956,0.804806822296124,0.812965425785983,0.761858354648579,0.525082264488754,0.506875889212591,0.754352481503849,0.599182451245591,0.792463930728709,0.883534343570536,0.526310748575024,1,0.836524932922331,0.829536985805178,0.753568964396968,0.662543992989322,0.695189717664295,0.657212254275782,0.747766285534937,0.77980657542438,0.492097579163717,0.508417635075006,0.215113944846972,0.221854401857086,0.663997938008817,0.169556073244434
"BA.5.5",0.586891860487907,0.825996455897056,0.809321368450924,0.839890877352674,0.746917919568694,0.53993091451449,0.548056660908184,0.738633564606763,0.561383407537381,0.834103333865921,0.893461475737082,0.464178050814951,0.836524932922331,1,0.826889209334157,0.794562439365355,0.714792831521452,0.709659494613712,0.695550660819488,0.795359940762313,0.724991663120024,0.603908641132069,0.57309861269567,0.38715914286986,0.304435602799009,0.686959847597433,0.2486273512976
"BA.5.6",0.54215375731108,0.782729468820513,0.842498936652243,0.819133934043827,0.824853970501875,0.672749368071036,0.557705164376952,0.757490910207306,0.711159074975506,0.804924101988345,0.886171207208447,0.569837235763975,0.829536985805178,0.826889209334157,1,0.734865395198435,0.748407182504951,0.675070523516974,0.741597414897281,0.729644935347664,0.810744996515853,0.598788785924385,0.55550277707639,0.347420778586063,0.286663612050296,0.757991302692392,0.279277458320559
"BE.1",0.488766107816811,0.674097764881681,0.791930757240394,0.72710686391402,0.650943327436747,0.448231938919619,0.389004477338908,0.676334652994913,0.49759453100246,0.743007117282847,0.810603447474901,0.361079048135871,0.753568964396968,0.794562439365355,0.734865395198435,1,0.621452384821474,0.729661942209502,0.778613202150885,0.7397579844313,0.625985415439422,0.550762944884625,0.528336105559452,0.303234950690108,0.257897385323027,0.596371488284491,0.347117940065371
"BE.1.1",0.682468787056261,0.735892735450513,0.680557614046592,0.805395713899996,0.660045498901934,0.549961072841943,0.691475720839769,0.709669387563527,0.629784320559315,0.761855304269897,0.766728506515799,0.631667846079624,0.662543992989322,0.714792831521452,0.748407182504951,0.621452384821474,1,0.613000191790902,0.63975868942045,0.642296790032027,0.73143811782283,0.613241878358025,0.514395144781484,0.458475688051641,0.390798990162724,0.61753969928342,0.260717289907587
"BE.3",0.442068493657763,0.568751036647152,0.692530369000199,0.65316475856043,0.607343979758735,0.395486211068412,0.353035289459162,0.661576864822653,0.521922965898351,0.701846209241449,0.750028730189538,0.357258893269622,0.695189717664295,0.709659494613712,0.675070523516974,0.729661942209502,0.613000191790902,1,0.66293967257909,0.632691403711522,0.594074599010573,0.466846672818983,0.492171784507084,0.382474467510979,0.402287134945336,0.640679320717556,0.283739857633322
"BF.10",0.466818487800362,0.596627150728871,0.797909666645744,0.708107430876719,0.685015239769672,0.534678446265699,0.449569037563187,0.673561990650209,0.553234666012668,0.762373494276344,0.776614944590354,0.557390514919626,0.657212254275782,0.695550660819488,0.741597414897281,0.778613202150885,0.63975868942045,0.66293967257909,1,0.619694213915117,0.65919823725467,0.589992136844609,0.571392920135877,0.420091604157252,0.426384256918964,0.666805948914593,0.42747500469766
"BF.26",0.512097544836134,0.718858516977787,0.700185113349263,0.747435137013588,0.598506840877791,0.428356125588123,0.43548332802957,0.646647715132164,0.432005036020291,0.766752634580608,0.811557195414318,0.441757710808126,0.747766285534937,0.795359940762313,0.729644935347664,0.7397579844313,0.642296790032027,0.632691403711522,0.619694213915117,1,0.658172880167748,0.491426126218266,0.559540874510134,0.261120470618248,0.18474868268921,0.598146950202419,0.167460870978347
"BF.5",0.580899368195191,0.754170617169232,0.753161389186019,0.788532756951398,0.731558582013481,0.629197314526877,0.583869372042132,0.730893551822733,0.640460974241489,0.773083639523757,0.827185969650443,0.587255657037569,0.77980657542438,0.724991663120024,0.810744996515853,0.625985415439422,0.73143811782283,0.594074599010573,0.65919823725467,0.658172880167748,1,0.532484174978997,0.577238939535364,0.346709415495585,0.300024625064676,0.688315383274751,0.21448116008865
"CHN_BA524849",0.680477809444653,0.618986930278784,0.644525774123487,0.689340623229999,0.536177205207171,0.574888874038869,0.562906670066512,0.538978673386165,0.490618652270783,0.680941174382674,0.60957322400743,0.555281202813529,0.492097579163717,0.603908641132069,0.598788785924385,0.550762944884625,0.613241878358025,0.466846672818983,0.589992136844609,0.491426126218266,0.532484174978997,1,0.496469574323779,0.424582121312726,0.304642316667845,0.538963719923579,0.526220765214312
"BF.7",0.463014004462944,0.519619557946835,0.563513567908425,0.614789037677656,0.400472412882652,0.450471716782531,0.435370431569328,0.41310646627837,0.3791845363992,0.621067894640514,0.658041949546333,0.431073492382833,0.508417635075006,0.57309861269567,0.55550277707639,0.528336105559452,0.514395144781484,0.492171784507084,0.571392920135877,0.559540874510134,0.577238939535364,0.496469574323779,1,0.359443521768061,0.370131536598306,0.693599369494283,0.26437818065815
"BQ.1",0.496734680151117,0.403019239678987,0.30024125790291,0.427127664745492,0.322021263891042,0.295715276261761,0.4040060857038,0.343929791621054,0.305689027333031,0.41104285789365,0.398923125132753,0.204004937785172,0.215113944846972,0.38715914286986,0.347420778586063,0.303234950690108,0.458475688051641,0.382474467510979,0.420091604157252,0.261120470618248,0.346709415495585,0.424582121312726,0.359443521768061,1,0.626347056366788,0.378780602761106,0.228367395283311
"BQ.1.1",0.270905307652993,0.252806674097255,0.35628838585491,0.323178562138698,0.275921608279596,0.26169276962279,0.235208112915904,0.278206206967082,0.382828252327787,0.418912636545676,0.343019818520368,0.342769437843192,0.221854401857086,0.304435602799009,0.286663612050296,0.257897385323027,0.390798990162724,0.402287134945336,0.426384256918964,0.18474868268921,0.300024625064676,0.304642316667845,0.370131536598306,0.626347056366788,1,0.506102703971037,0.310443339558391
"BA.4.6",0.428406863982786,0.564290724180983,0.711180906986586,0.65978061964647,0.665326751216072,0.519637975768352,0.381742547505198,0.606409628072566,0.605781073820424,0.745724064273271,0.770178033214102,0.524924390121168,0.663997938008817,0.686959847597433,0.757991302692392,0.596371488284491,0.61753969928342,0.640679320717556,0.666805948914593,0.598146950202419,0.688315383274751,0.538963719923579,0.693599369494283,0.378780602761106,0.506102703971037,1,0.362165394170395
"CHN_BF714",0.275423589340851,0.149350784347399,0.344410417897,0.242114633395155,0.30145259817522,0.224894444105769,0.164152715431765,0.248793533899273,0.314400439643407,0.359148414468653,0.254639622111966,0.306961674765626,0.169556073244434,0.2486273512976,0.279277458320559,0.347117940065371,0.260717289907587,0.283739857633322,0.42747500469766,0.167460870978347,0.21448116008865,0.526220765214312,0.26437818065815,0.228367395283311,0.310443339558391,0.362165394170395,1
