"","BA.5","BA.4","BA.4.1","BA.5.1","BA.5.1.1","BA.5.1.10","BA.5.1.22","BA.5.1.23","BA.5.1.30","BA.5.2","BA.5.2.1","BA.5.2.20","BA.5.2.9","BA.5.5","BA.5.6","BE.1","BE.1.1","BE.3","BF.10","BF.26","BF.5","CHN_BA524849","BF.7","BQ.1","BQ.1.1","BA.4.6","CHN_BF714"
"BA.5.2.1",0.583377352954245,0.733635630484796,0.783336674599315,0.867737369607264,0.616867990021296,0.588774446307797,0.561815058790056,0.58883553598796,0.569680513415371,0.866749534928181,1,0.56939222709755,0.641917717173215,0.838588788091357,0.741197080118917,0.69285902388171,0.651672574390788,0.553476381297649,0.703611120815136,0.598304942117823,0.681523849972572,0.627769033995404,0.712980315856131,0.727579475947665,0.791418511563065,0.797341968809802,0.524653084408229
"BA.5.2.20",0.357810665321375,0.464452201645512,0.509807899425978,0.551043614839616,0.390224825389571,0.358534029686725,0.349641270872051,0.36109424407966,0.371483340009956,0.560066702230419,0.56939222709755,1,0.411449020861175,0.524206849508678,0.481298424383975,0.451393822070496,0.413864841353755,0.354397899271509,0.443409472473407,0.385004525449399,0.432960193932946,0.425523952412817,0.456819724912571,0.480542268754572,0.516386597357769,0.513487744674727,0.354793949952614
"BA.5.2.9",0.399692399168212,0.528843245629466,0.565742426789884,0.609628483474343,0.443664089210286,0.414802682620049,0.422850022498809,0.413048177863899,0.411589174146734,0.625138491785131,0.641917717173215,0.411449020861175,1,0.595330645672088,0.552636949779978,0.493862328031785,0.470013606305699,0.409248785763965,0.498355389039442,0.429170982958331,0.48210789466653,0.461961995135502,0.503200147124153,0.524652687724849,0.580397853382293,0.584959093217138,0.384593637383531
"BA.5.5",0.548246650160956,0.679669826273711,0.733055543758149,0.823256758530445,0.583985583212889,0.552580026163542,0.518944403156766,0.57516186322422,0.533397531210422,0.798282813518608,0.838588788091357,0.524206849508678,0.595330645672088,1,0.693375221655926,0.649002829075316,0.611271093215827,0.523396705780679,0.648383888363842,0.548878044355665,0.621933456818077,0.582189400899061,0.668653066560379,0.683681298789405,0.743072220234484,0.74667683051755,0.490654237528436
"BA.5.6",0.502370155035784,0.619862068648778,0.677507388402704,0.720724954864863,0.509096232545535,0.479622844204849,0.494853001697234,0.492675403875319,0.491992727401171,0.728241819076446,0.741197080118917,0.481298424383975,0.552636949779978,0.693375221655926,1,0.596147757112968,0.554541917722901,0.479381332545192,0.599081841991602,0.500208955638225,0.557884439263062,0.540605622562669,0.579528495202873,0.628684695846366,0.690895264273409,0.684652636939134,0.438726697819928
"BE.1",0.471797434582208,0.586980469229731,0.619133033722059,0.682025538600139,0.481804697203962,0.452862390808153,0.464066778729684,0.463143428467697,0.445616972698778,0.685594552579016,0.69285902388171,0.451393822070496,0.493862328031785,0.649002829075316,0.596147757112968,1,0.527945413730983,0.449755716278427,0.548575411988526,0.444052582087058,0.510195337925364,0.500698933533208,0.558141001476446,0.587067150404493,0.622776256051474,0.63025748365937,0.426257273836783
"BE.1.1",0.433748467683649,0.555133645106707,0.576933922417284,0.645247599336209,0.442694524045122,0.428742155400743,0.439171880286005,0.426736022884583,0.414831593031727,0.644000015353806,0.651672574390788,0.413864841353755,0.470013606305699,0.611271093215827,0.554541917722901,0.527945413730983,1,0.408432291148448,0.525452404614054,0.438830655926394,0.49787131755641,0.471585464375311,0.50392071882721,0.560030012533465,0.608541954367842,0.597639359497831,0.377853377435414
"BE.3",0.353676984352488,0.448426174977466,0.489793379716537,0.538386815059303,0.384517388172652,0.367823281674341,0.358262830050359,0.373012554474488,0.347580822241608,0.541732169084404,0.553476381297649,0.354397899271509,0.409248785763965,0.523396705780679,0.479381332545192,0.449755716278427,0.408432291148448,1,0.440517860195318,0.373612706201155,0.421660475027005,0.391324412314353,0.417015614550788,0.469468340296844,0.506632063210786,0.497902358047743,0.328047506950231
"BF.10",0.444393005522778,0.568398532075544,0.617771023239032,0.676669769776256,0.485384410054515,0.461162936002209,0.449944250503383,0.461232934812896,0.440970762333894,0.692246858354787,0.703611120815136,0.443409472473407,0.498355389039442,0.648383888363842,0.599081841991602,0.548575411988526,0.525452404614054,0.440517860195318,1,0.473828662310404,0.525214846310232,0.51092751559384,0.55508860981435,0.581995541777928,0.638231149279554,0.6348786909242,0.417640566442488
"BF.26",0.385091163075773,0.484413014168594,0.521635165879202,0.582127356996527,0.411669789049671,0.392479598044699,0.381412482895159,0.394272878736578,0.367846520596572,0.577185388603519,0.598304942117823,0.385004525449399,0.429170982958331,0.548878044355665,0.500208955638225,0.444052582087058,0.438830655926394,0.373612706201155,0.473828662310404,1,0.460833198297907,0.419774294585087,0.463638138810202,0.493262906886237,0.531021479190926,0.523655962919092,0.355612988463517
"BF.5",0.41980017899275,0.546314350595772,0.587912428702457,0.653907249733096,0.465433673512244,0.445828271843798,0.417455478234575,0.435866058036838,0.43285742771827,0.659503272597098,0.681523849972572,0.432960193932946,0.48210789466653,0.621933456818077,0.557884439263062,0.510195337925364,0.49787131755641,0.421660475027005,0.525214846310232,0.460833198297907,1,0.475052602825592,0.543853701113472,0.549663496980562,0.596939138210324,0.601819316416278,0.397180840699552
"CHN_BA524849",0.413691597562925,0.533328640220165,0.561459588579556,0.605929966421752,0.424442795718686,0.409833956489106,0.406830234354374,0.413886194155918,0.404060671358656,0.630938799199574,0.627769033995404,0.425523952412817,0.461961995135502,0.582189400899061,0.540605622562669,0.500698933533208,0.471585464375311,0.391324412314353,0.51092751559384,0.419774294585087,0.475052602825592,1,0.501410731114033,0.530295192813074,0.58082147101498,0.575772976064952,0.491498788854064
"BF.7",0.452488840451397,0.578066598731187,0.629390820497268,0.68742475756096,0.495902334500188,0.467097417503949,0.435141737584342,0.474246432418303,0.441243226110261,0.687832226743962,0.712980315856131,0.456819724912571,0.503200147124153,0.668653066560379,0.579528495202873,0.558141001476446,0.50392071882721,0.417015614550788,0.55508860981435,0.463638138810202,0.543853701113472,0.501410731114033,1,0.590351269632038,0.641991978554421,0.640571837947465,0.434774695307258
"BQ.1",0.474984968256511,0.605791680422736,0.653656213993797,0.706270731389946,0.501311356680795,0.484527785626668,0.486579020031482,0.478730090668134,0.471795332725013,0.722367681869089,0.727579475947665,0.480542268754572,0.524652687724849,0.683681298789405,0.628684695846366,0.587067150404493,0.560030012533465,0.469468340296844,0.581995541777928,0.493262906886237,0.549663496980562,0.530295192813074,0.590351269632038,1,0.737586370774538,0.672918953293809,0.443473241852325
"BQ.1.1",0.497021090054285,0.664207417909237,0.7129337550948,0.764178270678441,0.547308960676305,0.511457495019426,0.527263279453089,0.518079592453599,0.508924570488433,0.794222779721242,0.791418511563065,0.516386597357769,0.580397853382293,0.743072220234484,0.690895264273409,0.622776256051474,0.608541954367842,0.506632063210786,0.638231149279554,0.531021479190926,0.596939138210324,0.58082147101498,0.641991978554421,0.737586370774538,1,0.732250547035644,0.489231323862499
"BA.4.6",0.520016488893065,0.688553474065998,0.747665246357675,0.767533329464471,0.545161195465494,0.505286129222053,0.509536662969906,0.52561153761703,0.517203559240729,0.785519552310977,0.797341968809802,0.513487744674727,0.584959093217138,0.74667683051755,0.684652636939134,0.63025748365937,0.597639359497831,0.497902358047743,0.6348786909242,0.523655962919092,0.601819316416278,0.575772976064952,0.640571837947465,0.672918953293809,0.732250547035644,1,0.481844546903355
"CHN_BF714",0.337614327325405,0.445646534618638,0.468199194841135,0.507359032870126,0.363959065943638,0.341315760106473,0.334959279024183,0.352107940839006,0.328419652162213,0.52486093685904,0.524653084408229,0.354793949952614,0.384593637383531,0.490654237528436,0.438726697819928,0.426257273836783,0.377853377435414,0.328047506950231,0.417640566442488,0.355612988463517,0.397180840699552,0.491498788854064,0.434774695307258,0.443473241852325,0.489231323862499,0.481844546903355,1
