Clade	Epitope	EscProp	group	EpiMax	NormalByMax
BQ.1.1	B	0.070032573	BA45Plus	0.178571429	0.39218241
BQ.1.1	C/D1	0.171009772	BA45Plus	0.178571429	0.957654723
BQ.1.1	D2	0.100977199	BA45Plus	0.389830508	0.259028466
BQ.1.1	D3	0.083061889	BA45Plus	0.271186441	0.306290717
BQ.1.1	D4	0.021172638	BA45Plus	0.150684932	0.140509328
BQ.1.1	E1/E2.1	0.115635179	BA45Plus	0.457627119	0.25268428
BQ.1.1	E2.2	0.016286645	BA45Plus	0.031690141	0.51393413
BQ.1.1	E3	0.021172638	BA45Plus	0.041666667	0.508143322
BQ.1.1	F1	0.003257329	BA45Plus	0.040540541	0.080347448
BQ.1.1	F3	0	BA45Plus	0.020242915	0
BQ.1	A1	0.053846154	BA45Plus	0.125	0.430769231
BQ.1	A2	0.046153846	BA45Plus	0.121621622	0.379487179
BQ.1	B	0.030769231	BA45Plus	0.178571429	0.172307692
BQ.1	C/D1	0.107692308	BA45Plus	0.178571429	0.603076923
BQ.1	D2	0.119230769	BA45Plus	0.389830508	0.305852843
BQ.1	D3	0.115384615	BA45Plus	0.271186441	0.425480769
BQ.1	D4	0.023076923	BA45Plus	0.150684932	0.153146853
BQ.1	E1/E2.1	0.215384615	BA45Plus	0.457627119	0.470655271
BQ.1	E2.2	0.026923077	BA45Plus	0.031690141	0.84957265
BQ.1	E3	0.030769231	BA45Plus	0.041666667	0.738461538
BQ.1	F1	0	BA45Plus	0.040540541	0
BQ.1	F3	0.007692308	BA45Plus	0.020242915	0.38
